0	3.14545	5	1	0.78794	-1
10	5.02727	6	5	0.163623	-1
20	5.31818	6	5	0.467903	-1
30	6	6	6	0	-1
40	6	6	6	0	-1
50	6	6	6	0	-1
60	6.00909	7	6	0.0953464	-1
70	6.04545	7	6	0.209252	-1
80	6.68182	7	6	0.467902	-1
90	7	7	7	0	-1
100	7	7	7	0	-1
110	7	7	7	0	-1
120	7	7	7	0	-1
130	7	7	7	0	-1
140	7	7	7	0	-1
150	7	7	7	0	-1
160	7	7	7	0	-1
170	7	7	7	0	-1
180	7	7	7	0	-1
190	7	7	7	0	-1
200	7	7	7	0	-1
210	7	7	7	0	-1
220	7	7	7	0	-1
230	7	7	7	0	-1
240	7	7	7	0	-1
250	7	7	7	0	-1
260	7	7	7	0	-1
270	7	7	7	0	-1
280	7	7	7	0	-1
290	7	7	7	0	-1
300	7	7	7	0	-1
310	7	7	7	0	-1
320	7	7	7	0	-1
330	7	7	7	0	-1
340	7	7	7	0	-1
350	7	7	7	0	-1
360	7	7	7	0	-1
370	7	7	7	0	-1
380	7	7	7	0	-1
390	7	7	7	0	-1
400	7	7	7	0	-1
410	7	7	7	0	-1
420	7	7	7	0	-1
430	7	7	7	0	-1
440	7	7	7	0	-1
450	7	7	7	0	-1
460	7	7	7	0	-1
470	7	7	7	0	-1
480	7	7	7	0	-1
490	7	7	7	0	-1
500	7	7	7	0	-1
